"spiel_id","spiel_title","bgg_id","note"
"1279","Brettspieltisch MAXIM Premium","","Fill verified BGG ID"
"393","Bring your own Book – Booklove Edition. Das Spiel in dem dein Buch die Hauptrolle spielt!","","Fill verified BGG ID"
"892","Buddha bei die Fische","","Fill verified BGG ID"
"919","Bullshit Bingo Bahn","","Fill verified BGG ID"
"925","Bullshit Bingo Büro","","Fill verified BGG ID"
"887","Bullshit Bingo Familienfeier","","Fill verified BGG ID"
"950","Bullshit Bingo Urlaub","","Fill verified BGG ID"
"339","Burgle Bros 3","","Fill verified BGG ID"
"556","Buttons & Bugs: Pubcrawlers","","Fill verified BGG ID"
"891","Buzz'Inn","","Fill verified BGG ID"
"696","CARU-UTA: English Edition","","Fill verified BGG ID"
"947","CATAN - The Card Game","","Fill verified BGG ID"
"740","CHOPSTICK TIGHTROPE","","Fill verified BGG ID"
"710","CODEWORDS - Das verschlüsselte Partyspiel","","Fill verified BGG ID"
"1406","Captain Flip - La Isla Bomba","","Fill verified BGG ID"
"1239","Carcassonne - 25 year anniversary edition","","Fill verified BGG ID"
"1435","Carnuta","","Fill verified BGG ID"
"1375","Cascadia Alpine Lakes: Pristine Peaks","","Fill verified BGG ID"
"889","Cascadia mountain lakes","","Fill verified BGG ID"
"965","Catan - The Dice Game","","Fill verified BGG ID"
"1116","Cational Meographic","","Fill verified BGG ID"
"1480","Chang'an","","Fill verified BGG ID"
"833","Chang’an","","Fill verified BGG ID"
"309","Chartbreak – Das Musikquiz, bei dem du die Fragen stellst","","Fill verified BGG ID"
"1419","Cheating Sushi","","Fill verified BGG ID"
"769","Check","","Fill verified BGG ID"
"633","Cherry on Top","","Fill verified BGG ID"
"244","Chess Peace","","Fill verified BGG ID"
"600","Clash of Clans","","Fill verified BGG ID"
"76","Claychat","","Fill verified BGG ID"
"558","Clippity Clop","","Fill verified BGG ID"
"636","Clips","","Fill verified BGG ID"
"1172","CluePuzzle - the Wonderbox of Alice","","Fill verified BGG ID"
"1167","Cluebox Houdini's Magic Escape","","Fill verified BGG ID"
"221","Cockpit Check","","Fill verified BGG ID"
"828","Codenames XXL","","Fill verified BGG ID"
"861","Codenames: Critical Role Adventures - Vox Machina Erweiterungspack","","Fill verified BGG ID"
"1353","Codenames: Cute Critters Expansion Pack","","Fill verified BGG ID"
"217","Coffee Rush: Winter","","Fill verified BGG ID"
"324","Color Words","","Fill verified BGG ID"
"172","Coloroo","","Fill verified BGG ID"
"1352","Concordia: Mare Nostrum","","Fill verified BGG ID"
"473","Confusing Lands","","Fill verified BGG ID"
"568","Confusing Lands: Neue Karten #1","","Fill verified BGG ID"
"651","CookieRun: Braverse TCG BS12 [Festival Arena]","","Fill verified BGG ID"
"647","CookieRun: Braverse TCG Booster Set5 [The Dark Enchantress War]","","Fill verified BGG ID"
"432","CookieRun: Braverse TCG Legendary Cookie Starter Deck Assortment (5)","","Fill verified BGG ID"
"921","Coup 1: Sternenhimmel","","Fill verified BGG ID"
"40","Courtisans: Diplomats & Confidents","","Fill verified BGG ID"
"699","Courtroom 1936: The Noir Trilogy","","Fill verified BGG ID"
"689","Crazy Observation range","","Fill verified BGG ID"
"78","Crazy Sherlock (Irrlichter)","","Fill verified BGG ID"
"394","Crime Files – Fallakte: Sherlocks Zeitungsarchiv. Der geniale Krimi-Adventskalender","","Fill verified BGG ID"
"632","Cross Words","","Fill verified BGG ID"
"1224","Cthulhu Crusades","","Fill verified BGG ID"
"578","Cthulhu: Der Mythos weltweit – Nepal und Japan","","Fill verified BGG ID"
"571","Cthulhu: Unter die Haut","","Fill verified BGG ID"
"569","Cthulhu: Vom Staub verborgen","","Fill verified BGG ID"
"443","D.I.G.G.A.: Zeichne mir","","Fill verified BGG ID"
"488","DIE FUSSBALLBANDE –  Stadt Land Fluss®","","Fill verified BGG ID"
"664","DIE INSEL DER UNSICHTBAREN TIERE","","Fill verified BGG ID"
"666","DODELIDO DELUXE","","Fill verified BGG ID"
"886","Daemonia","","Fill verified BGG ID"
"619","Daggerheart Basis-Set","","Fill verified BGG ID"
"1202","Daggerheart: Hope & Fear","","Fill verified BGG ID"
"37","Das ""Gelingt immer""-Puzzle ""Gemüse""","","Fill verified BGG ID"
