name,expansion,players,play_time,age,designers,publishers,hall,booth,priority,preorder,prepaid,price,notes
"Alebrijes: W�chter der Tr�ume",0,3-5,"15-25 min",8,"Joel Escalante, Rafael Escalante","HeidelBÄR Games",6,6B200,Need,0,0,18,
"Alhambra: Card Game",0,2-6,"45 min",10,"Dirk Henn","Queen Games",3,3K400,Need,0,0,,
"All Mine!",0,3-4,"30 min",10,"Arve D. Fühler","Capstone Games",3,3B300,Need,0,0,,
"All You Can Chili",0,2-6,"15-30 min",8,"Dario Massa","Giochi Uniti",3,3K515,Need,0,0,12,
"All You Can Eat Buffet",0,3-6,"20-40 min",8,"Bruno Faidutti, Théo Rivière","Mojito Studios",3,3N120,Need,0,0,25,
Allegra,0,2-6,"30-40 min",8,"Bella Lucca","HeidelBÄR Games",6,6B200,Need,0,0,16,
Almighty,0,1-4,"60-90 min",10,"Kevin Privalle, Malachi Ray Rempen","Keen Bean Studio",2,2D450,Need,0,0,,
"Altay: Seafarers Expansion",1,2-4,"45 min",13,"Roberto Di Meglio, Fabio Maiorana","Ares Games",3,3A115,Need,0,0,35,
Alto,0,2,"15-20 min",8,"Joel Escalante, Rafael Escalante",Helvetiq,8,8D300,Need,0,0,15,
Amarok,0,3-6,"15 min",8,"Charlène Chaps",HUCH!,,,Need,0,0,12,
�mbar,0,2-4,"30 min",7,"Nuno Santos","MEBO Games",6,6G225,Need,0,0,35,
"Ancient Empires",0,1-4,"60-120 min",14,"Milan Tasevski","Archona Games",3,3U215,Need,0,0,,
ANTgravity,0,2-4,"30-60 min",10,"Paweł Siemek","Lucrum Games",3,3H500,Need,0,0,30,
Apocalypse,0,3-6,"30 min",10,"Yoriyasu Harano","Grail Games",,,Need,0,0,,
"Aquatica: Kalte Gew�sser",1,1-5,"30-60 min",12,"Ivan Tuzovsky","Frosted Games",3,3G300,Need,0,0,27,
Arctica,0,1-4,"60-90 min",14,"Rémi Mathieu, Sams","This Way!",3,3J300,Need,0,0,,
Arctica,0,1-4,"60-90 min",14,"Rémi Mathieu, Sams","This Way!",3,3J300,Need,0,0,,
Aridnyk,0,1-4,"40-60 min",10,"Yaroslav Kifor, Volodymyr Kuznietsov, Andrii Yanovskiy","Koalla Spiele",4,4A425,Need,0,0,35,
"Arnie & Barney Drop or Stop?!",0,2-4,"10 min",6,"Patrick Tonn",HABA,8,8A300,Need,0,0,11,
"Arnie & Barney Hypno Vision",0,2-5,"15 min",7,"Carlo Emanuele Lanzavecchia",HABA,8,8A300,Need,0,0,12,
Arribada,0,2-4,"30-45 min",10,"Robert Hovakimyan","Bitewing Games",4,4H400,Need,0,0,35,
"Ascend the Shinra Tower: Final Fantasy VII",0,1-5,"15-30 min",13,"Masakazu Takizawa (たきざわ まさかず)","Arclight Games",5,5M400,Need,0,0,34,
"Ashes & Amber",0,1-4,"40-160 min",14,"David Falla de Acebo","David's Games",4,4D125,Need,0,0,,
"Ashes Ascendancy: Natural Magic Expansion",1,1-2,"30-60 min",14,"Nick Conley","Plaid Hat Games",3,3C415,Need,0,0,40,
"ASHES: Blackout Protocol",0,1-4,"60-120 min",14,"Jorge J. Barroso, Jesús Fuentes, Eduardo Pavón","Perro Loko Games",3,3U115,Need,0,0,60,
Aspens,0,2,"30 min",10,"Neil Edwards, Luke Roberts","Ludivore Games",3,3H215,Need,0,0,40,
Assemble!,0,2-4,"10-15 min",10,"Remo Conzadori, Stefano Negro","Alderac Entertainment Group",3,3B200,Need,0,0,10,
AstroNavigators,0,1-4,"60-120 min",14,"Vincent Verhoeven","Armillary Games",4,4A115,Need,0,0,65,
ATRAH,0,2-4,"15 min",10,"Jérémy Ducret, Johannes Goupy","CMON Global Limited",6,6F301,Need,0,0,20,
"Auf die Pl�tze, Apfel, los!",0,1-4,"5-10 min",5,"Gediminas Akelaitis",HABA,8,8A300,Need,0,0,16,
"Auf Wilden Wegen",0,2,"40-60 min",10,"Iain Everett","PIKA Games",3,3Q315,Need,0,0,,
"Auf Wilden Wegen: Heiterkeit",1,2,,0,"Iain Everett","PIKA Games",3,3Q315,Need,0,0,8,
"Auf Wilden Wegen: Schleichwege",1,2,,0,"Iain Everett","PIKA Games",3,3Q315,Need,0,0,8,
"Avalon: The Riven Veil",0,2-4,"90-120 min",14,"Jamie Jolly","Shadowborne Games",3,3S217,Need,0,0,79,
"Axia: Slayer Combo",0,1-4,"30-45 min",10,"Javier Martínez Gómez","Present Is Future Games (PIF GAMES)",3,3P115,Need,0,0,25,
"Ayar: Die Kinder der Sonne",0,1-4,"60-90 min",14,"Mandela Fernandez-Grandon, Fabio Lopiano","Giant Roc",2,2E440,Need,0,0,55,
Azure,0,2,"20 min",8,"Trevor Benjamin, Brett J. Gilbert","Bitewing Games",4,4H400,Need,0,0,25,
Badgers,0,1-2,"10-20 min",8,"Boris Malvic, Davor Vizintin",InterHuman,3,3C411,Need,0,0,32,
"Bag of Bugs",0,3-5,"15 min",8,,"Horrible Guild",6,6B115,Need,0,0,,
"Bail�n 1808: La primera derrota de Napole�n",0,2,"90 min",14,"Carlos Diaz Narvaez","NAC Wargames",3,3N300,Need,0,0,35,
"Bank or Bust",0,2-6,"15-20 min",10,"Caezar Al-Jassar, Liam Collins","Alley Cat Games",3,3F400,Need,0,0,12,
B�renbeute,0,2-5,"10 min",8,"Gautier de Cottreau, Anthony Martin","Brettspielloesung (BSL Games)",3,3C300,Need,0,0,12,
Bariloche,0,2-4,"20 min",10,"Martín Oddino, Del Sur, Julián Vecchione","Detestable Games",,,Need,0,0,,
"Batman: Gotham City Crimes",0,2-4,"60 min",12,"Michael Menzel",KOSMOS,7,7E400,Need,0,0,49,
"Bean to Bar",0,2-4,"90-180 min",14,"Masaki Suga (須賀 正樹)",Spielefaible,3,3G515,Need,0,0,,
"Bear Necessities",0,2-4,"30-45 min",10,"Johan Benvenuto, Gricha German","Mojito Studios",3,3N120,Need,0,0,25,
"Bee Bee",0,2-5,"15-30 min",7,"Pablo Jiménez","Cayro, The Games",2,2D630,Need,0,0,12,
"Behind: Lila",0,1-4,"30-90 min",10,"Cédric Millet","Strohmann Games",,"3 T-600",Need,0,0,22,
Beijing,0,2-5,"75-120 min",12,"Stefan Feld","Queen Games",3,3K400,Need,0,0,,
Beijing,0,2-5,"75-120 min",12,"Stefan Feld","Queen Games",3,3K400,Need,0,0,,
"Bella Vista",0,2-4,"30-45 min",10,"Bruno Cathala, Andrea Mainini","Studio H",6,6K300,Need,0,0,37,
"Bharat: Kings of Legend",0,2-5,"90-120 min",14,"Róbert Kóródi, Lívia Nemeth","Kolossal Games",,,Need,0,0,,
"Bier Boom: Mini-Erweiterung ?Luigi Moretti?",1,2-4,"70-90 min",12,"Thomas Spitzer",Spielefaible,3,3G515,Need,0,0,,
