name,expansion,players,play_time,age,designers,publishers,hall,booth,priority,preorder,prepaid,price,notes
"Crossing Heroes",0,2-5,"30 min",10,"Johannes Goupy, Matthieu Verdier","Cranio Creations",3,3T400,Need,0,0,,
"Cryptid Smash",0,2-10,"20 min",7,"David Pecorini Cancellario D' Alena, Sara Parsi di Landrone, Vangelis Matthaiopoulos, Stefanos Pagonidis","NoctiLux Games",2,2C310,Need,0,0,,
Crystalium,0,1-5,"30-45 min",10,"Matthieu Chaudon, Matthieu Chaudon","Haumea Games",3,3R125,Need,0,0,22,
"Cthulhu Rift",0,2-4,"45 min",0,"Eloi Pujadas, Ferran Renalias",Invedars,3,3U200,Need,0,0,28,
Cubaneo,0,2-5,"75-120 min",12,"Michael Rieneck, Stefan Stadler","Deep Print Games",3,3B300,Need,0,0,40,
Cubaneo,0,2-5,"75-120 min",12,"Michael Rieneck, Stefan Stadler","Deep Print Games",3,3B300,Need,0,0,40,
"Cucumber Catastrophe",0,3-6,"20 min",8,"Michael Feldkötter","DV Games",3,3P500,Need,0,0,14,
"Cyberpunk Legends",0,1-4,"90-120 min",14,"James Portnow","Night Crew Games",,,Need,0,0,,
"Cyberpunk: Edgerunners ? Hunted",0,1-4,"20-30 min",12,"APEX Ideenschmiede","No Loading Games",4,4K400,Need,0,0,35,
"Cyberpunk: Edgerunners ? Hunted",0,1-4,"20-30 min",12,"APEX Ideenschmiede","No Loading Games",4,4K400,Need,0,0,40,
DaDaDa,0,2-99,"15-30 min",8,"Gustavo (mut/moochi) Ceci Guimarães, Lee McGirr, TJ Spalty, Julian Spinelli","Pegasus Spiele",3,3M120,Need,0,0,20,
"Dance of Ibexes",0,2-8,"30 min",8,"Wolfgang Kramer",Playte,6,6D405,Need,0,0,24,
"Dancing Birds",0,2-4,"20-30 min",8,"Dirk Henn","Queen Games",3,3K400,Need,0,0,,
"Dark Omen",0,1-4,"120-720 min",12,"Lukas Hüttner, Errol Stryker","Dark Omen GmbH",4,4E220,Need,0,0,225,
"Das 1% Quiz: Wie clever bist du?",0,1-4,"30 min",12,"Jens Merkl",frechverlag,6,6H200,Need,0,0,16,
"Das Kaktusspiel",0,2-6,"10-20 min",9,"Ryan Wallace",HUCH!,,,Need,0,0,,
"Das klappt schon!",0,2-6,"30-60 min",6,"Martin Schlegel","Hammer Holzstübchen",1,1F900,Need,0,0,180,
"Das Phantom der Oper",0,2,"15 min",0,Geonil,HABA,8,8A300,Need,0,0,11,
"Das Spiel der V�gel",0,2-4,,10,"Robert Macfarlane, Michael Rieneck",KOSMOS,7,7E400,Need,0,0,29,
"Das Voynich-Mysterium",0,1-4,"90-120 min",14,"Dani Garcia","Frosted Games",3,3G300,Need,0,0,60,
"Daytime Minutes",0,3-5,"30-45 min",12,"Cardner Babakitis","Odd Candy",4,4F510,Need,0,0,19,
"Deadly Dinner: T�dliches Klassentreffen",0,7-11,"180-240 min",16,"Lukas Setzke, Verena Wiechens","Pegasus Spiele",3,3M120,Need,0,0,40,
"Deckers: Duplicity",1,1-4,"60-90 min",12,"Richard Wilkins","Deep Print Games",3,3B300,Need,0,0,10,
"Deckers: Duplicity",1,1-4,"60-90 min",12,"Richard Wilkins","Deep Print Games",3,3B300,Need,0,0,10,
"Defenders of the Dictionary",0,1-4,"30-45 min",8,"Adam Rehberg, Martin Řehořík","Adam's Apple Games, LLC",4,4H120,Need,0,0,,
Delfos,0,1-5,"20-40 min",8,"Yaniv Kahana",PYTHAGORAS,2,2B355,Need,0,0,25,
"Der Regenbogenfisch: Glitzerbingo",0,2-4,"15 min",3,"Kristin Dittmann",HABA,8,8A300,Need,0,0,16,
"Der Turm",0,2-5,"15 min",8,"Luca Bellini, Luca Borsa, Carlo Emanuele Lanzavecchia","Zoch Verlag",,,Need,0,0,10,
"Der Weg zu Satori",0,1-4,"25-100 min",14,"Paco Yanez","Giant Roc",2,2E440,Need,0,0,50,
Diables,0,1-4,"45-120 min",14,"Dani Garcia","Salt & Pepper Games",3,3A400,Need,0,0,75,
"Diamant: Warnung & Verrat",1,3-8,"30 min",8,"Bruno Faidutti, Alan R. Moon","Pegasus Spiele",3,3M120,Need,0,0,8,
"Dice Arcana",0,1,"15 min",10,"Denis Phoenix",Ludonova,3,3F115,Need,0,0,30,
"Dice Quest: The Dunwich Horror",0,1-3,"40-60 min",10,"Adrián Alba",Juegorama,3,3Q115,Need,0,0,,
"Dice Quest: The Tower of the Elephant",0,1-2,"40-60 min",10,"Adrián Alba",Juegorama,3,3Q115,Need,0,0,,
"Dice Valley",0,1-4,"30 min",8,"Filip Kościuszko","Smart Flamingo",2,2D510,Need,0,0,,
Dicecream,0,2-4,"25 min",8,"Manfred Keller, Fabian Zimmermann","Skellig Games",3,3C300,Need,0,0,15,
Dicendo,0,4-8,"20 min",8,"Paolo Bianchi (II)","DV Games",3,3P500,Need,0,0,19,
"Diceocracy: Power to the Pips",1,1-5,"60-90 min",12,"Tobias Hall","All Or None Games",3,3E500,Need,0,0,25,
Dicequest,0,1-4,"30-60 min",10,"Jochen Eisenhuth","Skytear Games",3,3P111,Need,0,0,40,
"Dicey Chess",0,2,"15 min",8,"Ilya Yudovski",HABA,8,8A300,Need,0,0,8,
Dickory,0,2,"10-20 min",10,"Sean Ross (I), Hanibal Sonderegger",Playte,6,6D405,Need,0,0,14,
"Die 12 Pr�fungen des Herkules",0,1,"30-60 min",14,"Tyler J. Brown","Giant Roc",2,2E440,Need,0,0,,
"Die Biene Maja: Blumenwiese",0,1-4,"5-10 min",2,,HABA,8,8A300,Need,0,0,14,
"Die Biene Maja: Bl�ten Angeln",0,1-4,"10 min",2,"Kristin Dittmann",HABA,8,8A300,Need,0,0,20,
"Die Biene Maja: Honigbaum",0,1-4,"10 min",2,"Tim Rogasch",HABA,8,8A300,Need,0,0,16,
"Die Blumenstra�e: Das Duell",0,2,"45 min",14,"Dani Garcia",Board&Dice,3,3G200,Need,0,0,,
"Die Crew: Jagd um die Welt",0,2-5,"20 min",10,"Thomas Sing",KOSMOS,7,7E400,Need,0,0,14,
"Die Fiesen 7",0,2-6,"15-25 min",8,"Jacques Zeimet","HeidelBÄR Games",6,6B200,Need,0,0,12,
"Die verlorenen Ruinen von Arnak: �berraschungslieferung",1,1-4,"30-120 min",12,"Elwen, Mín","Czech Games Edition (CGE)",3,3V400,Need,0,0,16,
"Die vier Pforten",0,1-5,"30 min",10,"Matt Leacock, Ben Pinchback, Matt Riddle","Game Factory",6,6B110,Need,0,0,20,
"Die Waldlande: �berwucherte S�mpfe",1,1-5,"35-60 min",10,"Geoffrey Wood",Mirakulus,2,2E440,Need,0,0,,
"Die Zwerge: K�nigswahl",0,2-5,"25 min",8,"Michael Palm, Lukas Zach",frechverlag,6,6H200,Need,0,0,14,
"Digit Code",0,2-5,"20-25 min",8,"Shota Hasuike","Nice Game Publishing",6,6D320,Need,0,0,15,
"Dino Battle!",0,2-4,"60-120 min",14,"Stephen Baker, Roger Ford, Anthony Howgego","Rebellion Unplugged",2,2D111,Need,0,0,,
"Dino Chaos",0,3-5,"15-20 min",8,"Eddy Sterckx","Jumping Turtle Games",2,2D130,Need,0,0,12,
"Dino Museum",0,2-4,"30-50 min",8,"Eric M. Lang, Ben Rosset","Fractal Juegos",4,4J300,Need,0,0,30,
"Dirt & Dust: Harbordrift",1,1-4,"90 min",14,"Petr Čáslava",Albi,4,4D400,Need,0,0,6,
"Discordia: Diana",1,1-5,"60-90 min",12,"Bernd Eisenstein",Irongames,3,3H110,Need,0,0,26,
"Discordia: Germanicus",1,1-5,"70-90 min",12,"Bernd Eisenstein",Irongames,3,3H110,Need,0,0,3,
Disfida,0,2-4,"30-60 min",14,"Michele Quondam",Giochix.it,3,3H315,Need,0,0,39,
"Distilled: Cocktails",1,1-5,"45-150 min",13,"Dave Beck, Richard Woods","Paverson Games",4,4B200,Need,0,0,,
Distop-IA,0,2,"15 min",8,"Anna Lucini Canals, Pau Moré Gómez","Zombi Paella",4,4D120,Need,0,0,16,
dnup,0,2-5,"15-20 min",8,"Kei Kajino (梶野 桂)",asmodee,7,7C111,Need,0,0,,
Dobro,0,2-6,"15-20 min",8,"Fel Barros, Lucas Castanho, Pedro Vinicius",frechverlag,6,6H200,Need,0,0,10,
"Don Quixote",0,3-5,"20-30 min",8,"Yeon-Min Jung","Mandoo Games",6,6B201,Need,0,0,,
"Doppelganger Tricks",0,3-4,"40 min",10,"ましう (Mashiu)",Carteado,4,4F510,Need,0,0,30,
"Dorfromantik: Head to Head",0,2,"15-30 min",8,"Michael Palm, Lukas Zach","Pegasus Spiele",3,3M120,Need,0,0,15,
"Dorfromantik: Kopf an Kopf",0,2,"15-30 min",8,"Michael Palm, Lukas Zach","Pegasus Spiele",3,3M120,Need,0,0,15,
"Dorfromantik: South Seas",0,1-6,"30-90 min",10,"Michael Palm, Lukas Zach","Pegasus Spiele",3,3M120,Need,0,0,40,
"Dorfromantik: S�dsee",0,1-6,"30-90 min",10,"Michael Palm, Lukas Zach","Pegasus Spiele",3,3M120,Need,0,0,40,
"Dragon Overload",0,2,"15 min",8,"Jay Bendixen","Lookout Games",,,Need,0,0,,
Dragonarium,0,1-4,"30-45 min",10,"Wei Chang, Kuan Chen","Wonderful World Board Games",5,5H400,Need,0,0,,
Drillers,0,1-4,"30-120 min",12,"Roman Bednář, Adam Španěl","Czech Games Edition (CGE)",3,3V400,Need,0,0,50,
Drillers,0,1-4,"30-120 min",12,"Roman Bednář, Adam Španěl","Czech Games Edition (CGE)",3,3V400,Need,0,0,50,
"Drops of Evil",0,2-4,"60 min",12,"Hjalmar Hach, Lorenzo Silva","Horrible Guild",6,6B115,Need,0,0,,
Duat,0,2,"5-10 min",8,"Caleb Carvalho","Unphazed Games",3,3A110,Need,0,0,35,
"Duel of Meloch",0,1-2,"45 min",14,"Jamey Stegmaier","Feuerland Spiele",3,3Q300,Need,0,0,,
"Duell der Drachen",0,2,"15 min",8,"Jay Bendixen","Lookout Games",,,Need,0,0,,
"Dungeon Cube",0,1-6,"10-20 min",8,"Nicolò Chioato","Red Glove",3,3T200,Need,0,0,20,
"Dungeon Cube",0,1-6,"10-20 min",8,"Nicolò Chioato","Red Glove",3,3T200,Need,0,0,20,
"Dungeons of Doria: Arcane Abominations",1,1-6,"60-270 min",14,"Viktor Ahrens, Ernst-Joachim Preussler",(Self-Published),,,Need,0,0,39,
"Dust in the Wind",0,1-4,"90-720 min",14,"Srdjan Jovanovski",PHALANX,3,3L500,Need,0,0,,
Dustbiters,0,2,"10-15 min",9,"Robbie Fraser, Jan Willem Nijman, Terri Vellmann","King Racoon Games",4,4H325,Need,0,0,15,
"Dutch Flower Auction",0,2-5,"10-15 min",8,Zong-Ger(蔥哥),"Good Game Studio",5,5H400,Need,0,0,10,
Duvida�!,0,3-6,"30-40 min",10,"Vicente (Vince) Martin, Mauricio Torselli",Carteado,4,4F510,Need,0,0,30,
"Earthborne Rangers: Augenblicke",1,1-4,,0,"Davi Paulino","Frosted Games",3,3G300,Need,0,0,23,
"Earthborne Rangers: Das Verm�chtnis der Ahnen",1,1-4,,0,"Luke Eddy, Andrew Fischer, Brooks Flugaur-Leavitt, Andrew Navaro, Davi Paulino, Adam Sadler, Brady Sadler","Frosted Games",3,3G300,Need,0,0,73,
"Earthborne Rangers: Die H�ter des Tals",1,1-4,,0,"Davi Paulino","Frosted Games",3,3G300,Need,0,0,43,
"Eccentric Essences",0,3-10,"20 min",12,"Yuri Lanovenchik","Red Cat Games",6,6H110,Need,0,0,20,
Eggsposed,0,3-8,"20 min",9,"Ali Mussell","Oink Games",6,6C310,Need,0,0,20,
"El Rey Planeta",0,1-2,"30-240 min",14,"Ivan Notario","NAC Wargames",3,3N300,Need,0,0,55,
"Eldertide: A Thousand Lights",0,1-5,"60-120 min",14,"Mahawira S. Dillon, Rodrigo Esper, Yofiandhy D Indrayana","Esper Game Studio",5,5K325,Need,0,0,70,
Eldur,0,2-4,"30-90 min",8,"Svavar Björgvinsson, Monika Brzková","Gamia Games",2,2A430,Need,0,0,30,
Elementica,0,1-4,"60-100 min",12,Akashi,14games,5,5K400,Need,0,0,50,
"Emerland: Ein Spiel in der Welt von Everdell",0,1-4,"30-120 min",10,"James A. Wilson, Clarissa A. Wilson","Pegasus Spiele",3,3M120,Need,0,0,60,
"Enchanted Ivy",0,1,"10-20 min",10,"Sarah Joshua",Allplay,8,8D200,Need,0,0,20,
"Enchanted Ivy: A Grand Birthday",1,1,"10-20 min",10,"Sarah Joshua",Allplay,8,8D200,Need,0,0,7,
"Encyclopedia of Monsters",0,2-4,"15-30 min",6,"Antoine Bauza, Corentin Lebrat, Théo Rivière","Scorpion Masqué",,,Need,0,0,30,
"Endangered Rescue #3: Tasmanian Devil",0,1-4,"45-60 min",13,"Anna Ellett, Ace Ellett","Grand Gamers Guild",3,3E400,Need,0,0,9,
"Endangered: Australia",1,1-5,"60-90 min",10,"Martin Biesheuvel, Joe Hopkins, Joshua Sprung","Grand Gamers Guild",3,3E400,Need,0,0,52,
"Endeavor: Deep Sea ? Uncharted Waters",1,1-5,"45-90 min",14,"Carl de Visser, Jarratt Gray","Frosted Games",3,3G300,Need,0,0,29,
"Endeavor: Die Tiefsee ? Am Meeresgrund",1,1-5,"45-90 min",14,"Carl de Visser, Jarratt Gray","Frosted Games",3,3G300,Need,0,0,35,
"Enemy Anemone",0,2-6,"20-40 min",8,"Daniel Newman",Playte,6,6D405,Need,0,0,13,
Enormity,0,1-4,"60-90 min",14,"Marcin Wełnicki","Into the Unknown",4,4E200,Need,0,0,,
Entropy,0,1-4,"90-150 min",14,"Tommaso Battista, Simone Luciani, Nestore Mangone",Board&Dice,3,3G200,Need,0,0,55,
Entropy,0,1-4,"90-150 min",14,"Tommaso Battista, Simone Luciani, Nestore Mangone",Board&Dice,3,3G200,Need,0,0,55,
"Era of Atlantis",0,3-5,"120 min",14,"Channing Jones","Seajay Games",3,3M110,Need,0,0,110,
"Era of Pioneers",0,1-4,"60-120 min",14,"Jannik Auth","Steinbock Brettspiele",2,2C125,Need,0,0,,
"Escape from the Silken Web",0,2-5,"20-30 min",8,"Roberto Alhambra, Hanshi Li","Whales Entertainment",6,6D300,Need,0,0,20,
"ESP: Experiment in Supersensory Perspicacity",0,3-4,"20-30 min",10,"Cardner Babakitis","Odd Candy",4,4F510,Need,0,0,22,
"Eternal Decks",0,1-4,"30-40 min",10,Hiroken,"Strohmann Games",,"3 T-600",Need,0,0,40,
"Eternamente Tempor�rio",0,4-6,"40-75 min",12,"Arthur Lacerda",Carteado,4,4F510,Need,0,0,30,
"Eternitium: Lost-Gen",1,1-5,"20-30 min",10,"Thomas Carlier","Haumea Games",3,3R125,Need,0,0,6,
"Eternitium: Lost-Gen",1,1-5,"20-30 min",10,"Thomas Carlier","Haumea Games",3,3R125,Need,0,0,5,
"Europa Universalis: Defying Destiny",1,1-6,"90-300 min",14,"Eivind Vetlesen","Aegir Games",3,3Q200,Need,0,0,65,
Evenglow,0,1-4,"30-45 min",10,"Jason Katzwinkel","The Op Games",,,Need,0,0,40,
"Everybody Yeah",0,1-4,"60-90 min",14,"Benjamin Schultz","Boardgame Racoon",3,3G610,Need,0,0,25,
Excalibur,0,2-8,"15-25 min",14,"Manny Trembley",Mirakulus,2,2E440,Need,0,0,,
Excalibur,0,2-8,"15-25 min",14,"Manny Trembley",Mirakulus,2,2E440,Need,0,0,,
Excursions,0,1-6,"60-90 min",10,"Ben Rosset","Kinson Key Games",4,4D320,Need,0,0,,
"EXIT: Das Spiel ? Der perfekte Einbruch (Jubil�ums-Edition)",0,1-4,"45-90 min",12,"Inka Brand, Markus Brand, Emely Brand",KOSMOS,7,7E400,Need,0,0,19,
"Explorers of Navoria: World's Edge",1,1-5,"40-80 min",12,"Zheng Kong","Dranda Games",3,3H400,Need,0,0,,
"Explorers of the Woodlands: Wildscale Swamps",1,1-5,"35-60 min",10,"Geoffrey Wood",Mirakulus,2,2E440,Need,0,0,30,
"Extremes Only",0,3-8,"30 min",14,"Kasper Lapp","Korea Boardgames",5,5A300,Need,0,0,25,
Fadenfroh,0,1-4,"30 min",8,"Jordy Adan, Alexander Pfister","Pandasaurus Games",2,2E330,Need,0,0,20,
Fadenfroh,0,1-4,"30 min",8,"Jordy Adan, Alexander Pfister","Pandasaurus Games",2,2E330,Need,0,0,30,
"Falklands-Malvinas 1982",0,2,"180-360 min",14,"Chema Rando","NAC Wargames",3,3N300,Need,0,0,60,
"Fame & Fable",0,1-4,"45-90 min",14,"Owen Davey","Board Game Circus",2,2C130,Need,0,0,45,
"Familiar Feat",0,1,"20-30 min",10,"Friedemann Friese","Deep Print Games",3,3B300,Need,0,0,12,
"Familiar Feat",0,1,"20-30 min",10,"Friedemann Friese","Deep Print Games",3,3B300,Need,0,0,12,
"Faraway: Au-del� du voile",1,2-6,"15-30 min",10,"Johannes Goupy, Corentin Lebrat","Catch Up Games",6,6K400,Need,0,0,6,
"Faraway: Beyond the Veil",1,2-6,"15-30 min",10,"Johannes Goupy, Corentin Lebrat","Catch Up Games",6,6K400,Need,0,0,6,
"Fauch & Fertig",0,2-4,"30 min",8,"Thorsten Gimmler","Skellig Games",3,3C300,Need,0,0,15,
"Faust vs Mephisto",0,2,"10-25 min",8,Geonil,"Nice Game Publishing",6,6D320,Need,0,0,20,
Federleicht!,0,2-4,"25 min",10,"Chris Priscott",AllGo-Games,6,6K301,Need,0,0,14,
Fenceology,0,1-4,"15-30 min",14,deratoriko,Playte,6,6D405,Need,0,0,14,
Fernweh,0,2-5,"15-60 min",8,"Wim Goossens","Kobold Spieleverlag",2,2E440,Need,0,0,22,
Festburg,0,3-6,"20 min",8,"Yohan Goh, Hope S. Hwang, Gary Kim","Red Cat Games",6,6H110,Need,0,0,10,
"Final Titan",0,1-5,"30-45 min",8,"Richard Garfield, Christian Kudahl","Nerdlab Games",5,5B700,Need,0,0,,
"Finger Pirates",0,4-5,"15-20 min",14,"ましう (Mashiu)",Playte,6,6D405,Need,0,0,13,
"Finstere Flure",0,2-7,"60 min",10,"Friedemann Friese",2F-Spiele,3,3G215,Need,0,0,28,
Fireflies,0,2,"30-75 min",10,"Johannes Goupy, Joachim Thôme","Catch Up Games",6,6K400,Need,0,0,30,
"Fischen 2",0,3-5,"40-60 min",8,"Friedemann Friese",2F-Spiele,3,3G215,Need,0,0,12,
"Flame & Forge",0,1-4,"45-60 min",14,"Luís Brueh","Brueh Games Inc.",2,2C400,Need,0,0,65,
Flamenco,0,2-5,"15-30 min",10,Nutgoo.Lee,"BoardM Factory",4,4E425,Need,0,0,10,
"Flaming Facts",0,2-6,"20 min",14,"Arno Steinwender",HUCH!,,,Need,0,0,27,
"Flamme Rouge: Champion Edition",0,1-12,"30-45 min",8,"Asger Aleksandrov Granerud",Lautapelit.fi,2,2C520,Need,0,0,59,
"Flickering Stars",0,2-4,"30-60 min",8,"Josh Cappel, Matt Leacock","PIKA Games",3,3Q315,Need,0,0,,
"Fliegen kriegen",0,2-6,"15 min",8,"Svea Schenkel","Skellig Games",3,3C300,Need,0,0,15,
"Flip 7: Voll Fies!",0,3-28,"20 min",8,"Eric Olsen, Alyssa Swatek",KOSMOS,7,7E400,Need,0,0,16,
"Flip 7: With A Vengeance",0,3-28,"20 min",8,"Eric Olsen, Alyssa Swatek",KOSMOS,7,7E400,Need,0,0,10,
"Flip Pick Towers",0,1-6,"30-45 min",9,"Rob Fisher, Adam Porter","Osprey Games",3,3M600,Need,0,0,20,
Flipside,0,1-4,"60-120 min",10,"Nick Gerts","Hobby World",6,6H110,Need,0,0,60,
"FlipToons: Season 2",0,1-4,"15-30 min",10,"Jordy Adan, Renato Simões","Thunderworks Games",4,4G500,Need,0,0,20,
Flixo,0,2-5,"20-30 min",8,"Friedemann Friese",2F-Spiele,3,3G215,Need,0,0,12,
FLOE,0,1-4,"60-90 min",10,"Henry Audubon, Jonny Pac, Yoma","Skellig Games",3,3C300,Need,0,0,,
FLOE,0,1-4,"60-90 min",10,"Henry Audubon, Jonny Pac, Yoma","Skellig Games",3,3C300,Need,0,0,,
"Flora Funga",0,2-4,"15-25 min",10,"Kedric Winks","Outset Media",,"6 - K110",Need,0,0,30,
"Flossenschlag: Haie & Riffe",1,1-5,"45-60 min",14,"Michael O'Connell (II)","Feuerland Spiele",3,3Q300,Need,0,0,,
"Fl�gelschlag: Mittel- und S�damerika-Erweiterung",1,1-5,"75-90 min",14,"Elizabeth Hargrave","Feuerland Spiele",3,3Q300,Need,0,0,,
"Fl�gelschlag: Regionen Fan-Set 1",1,1-5,"40-70 min",10,"Will Downham, Sam Gray, Elizabeth Hargrave, Racquel Mohr Halland, Travis Willse, David Withington","Feuerland Spiele",3,3Q300,Need,0,0,,
"Fly Away",0,2-5,"20 min",8,"Aaron Kempkes",HUCH!,,,Need,0,0,11,
"FOMO: Foragers of Mechanical Oddities",0,3-5,"20-30 min",10,"Rodrigo Esper","Esper Game Studio",5,5K325,Need,0,0,20,
"Food Truck Fury",0,1-4,"60-90 min",13,"Ryan Jorjorian","Van Ryder Games",2,2E210,Need,0,0,50,
"For the Gods!",0,2-4,"30-60 min",10,"Trevor Benjamin, Brett J. Gilbert, David Thompson (I)","Mighty Boards",3,3M300,Need,0,0,55,
Forage,0,1-6,"15-30 min",10,"Molly Johnson, Robert Melvin, Shawn Stankewich","Flatout Games",,,Need,0,0,20,
For�a,0,2-6,"15-30 min",6,"Gaelle Dumont",G1iDGames,4,4A415,Need,0,0,,
"Forest Shuffle: Smoky Mountains",0,2-5,"60 min",10,Kosch,"Lookout Games",,,Need,0,0,,
"Forestry: Growing Further",1,1-4,"35-120 min",12,"Michal Peichl","Pink Troubadour",4,4G515,Need,0,0,25,
Forgeflame,0,2-4,"60 min",10,"Quentin Vernet, Marc Vernet",Grimspire,2,2E440,Need,0,0,55,
Founders,0,2-5,"35-60 min",10,"Bragou, Sams","This Way!",3,3J300,Need,0,0,40,
"Fourth Wing: Das Spiel ? Die Wahl der Drachen",0,2-4,"45-60 min",10,,KOSMOS,7,7E400,Need,0,0,29,
"Foxglove Farm",0,1-4,"30-60 min",14,"Aya Taguchi, Shun Taguchi","Alley Cat Games",3,3F400,Need,0,0,35,
"Fragments: Fungata�",0,1-4,"40-160 min",10,"Yohan Servais",IELLO,6,6F200,Need,0,0,55,
"Fragments: Solara",0,1-4,"90-120 min",10,"Yohan Servais","Pegasus Spiele",3,3M120,Need,0,0,19,
"Fragments: Solara",0,1-4,"90-120 min",10,"Yohan Servais","Pegasus Spiele",3,3M120,Need,0,0,20,
Freigard,0,1,"15 min",8,"Reiner Knizia",inPatience,2,2D411,Need,0,0,15,
"Frog Tower",0,3-5,"15-20 min",8,URiO,"Good Games Publishing",2,2D530,Need,0,0,13,
"Frosted Blooms",0,1-4,"20-40 min",8,"Bruno Cathala, Ludovic Maublanc","Synapses Games",2,2E610,Need,0,0,30,
Fugu,0,1-4,"25 min",8,"Flavio Foches, Riccardo Foches",Helvetiq,8,8D300,Need,0,0,10,
"Funkel Munkel",0,2-4,"20 min",4,"Cielo d'Oro","Zoch Verlag",,,Need,0,0,24,
"Funny Crazy Animals",0,2-6,"30 min",8,"Gerhard Hany",MM-Spiele,6,6B300,Need,0,0,25,
FUNSIS,0,2-5,"15 min",7,"Leo Colovini, Dario De Toffoli","franjos Spieleverlag",,,Need,0,0,14,
"Furnace Duel",0,2,"30-60 min",12,"Andrey Kolupaev, Ivan Lashin","Kobold Spieleverlag",2,2E440,Need,0,0,36,
Furruits,0,1-6,"30-45 min",8,"Tobias Hall","All Or None Games",3,3E500,Need,0,0,20,
"Furry Poker",0,2-4,"15-30 min",10,Zong-Ger(蔥哥),"Good Game Studio",5,5H400,Need,0,0,10,
"Furry Poker",0,2-4,"15-30 min",10,Zong-Ger(蔥哥),"Good Game Studio",5,5H400,Need,0,0,10,
"Gachapon Trick",0,2-4,"20-40 min",10,"Daniel Newman",Playte,6,6D405,Need,0,0,19,
"Galactic Cruise: Perfect Planning Promo Card",1,1-4,"90-150 min",14,"T.K. King, Dennis Northcott, Koltin Thompson","Kinson Key Games",4,4D320,Need,0,0,2,
"Galactic Cruise: Rescue Mission Promo Card",1,1-4,"90-150 min",14,,"Kinson Key Games",4,4D320,Need,0,0,2,
"Gallery Gambit",0,2-5,"10-20 min",10,"Simone Luijk, Robin Stokkel","Four Suit Studio",6,6C108,Need,0,0,29,
"Game Snacks: Sushi",0,2-4,"10 min",6,"Heinz Meister",HABA,8,8A300,Need,0,0,7,
"Game Snacks: Sweets",0,2-4,"10 min",6,"Heinz Meister",HABA,8,8A300,Need,0,0,7,
"Gamma Extra",0,2-6,"15-30 min",8,"Eloi Pujadas",Batusaki,2,2D631,Need,0,0,15,
"Gangs of Trash City",0,2,"30-45 min",10,"APEX Ideenschmiede, Felix Mertikat","King Racoon Games",4,4H325,Need,0,0,35,
Gaud�,0,1-4,"60-100 min",10,"Dani Garcia",Devir,3,3D600,Need,0,0,,
Gaud�,0,1-4,"60-100 min",10,"Dani Garcia",Devir,3,3D600,Need,0,0,36,
"Gems of Iridescia: Radiant Recalibrator Promo Card",1,1-4,"60-90 min",10,"Roberto Panetta","Rock, Stone & Dice Games",4,4A415,Need,0,0,3,
"Gems of Iridescia: Radiant Recalibrator Promo Card",1,1-4,"60-90 min",10,"Roberto Panetta","Rock, Stone & Dice Games",4,4A415,Need,0,0,3,
"Genius Idea",0,2-6,"10-30 min",7,Zong-Ger(蔥哥),"Good Game Studio",5,5H400,Need,0,0,20,
"Genius Idea",0,2-6,"10-30 min",7,Zong-Ger(蔥哥),"Good Game Studio",5,5H400,Need,0,0,20,
"Geometric Art",0,3-6,"10-15 min",8,"Eros Lin",EmperorS4,4,4J325,Need,0,0,14,
"Geschickt Gef�delt",0,2-5,"25-35 min",8,"Cami Muñoz Villar",frechverlag,6,6H200,Need,0,0,24,
"Gestern wirst du mich t�ten",0,2,"15-30 min",10,"Peter C. Hayward","Corax Games",2,2E440,Need,0,0,,
Gibberers,0,3-5,"60-180 min",14,Keisei,"Hobby Japan",3,3F120,Need,0,0,35,
"Gibberers: The Word Game of Language Invention and Civilization Development",0,3-5,"60-180 min",14,Keisei,"Hobby Japan",3,3F120,Need,0,0,,
"Gift Swap",0,3-5,"10-15 min",8,"Poki Chen","Taiwan Boardgame Design",4,4J325,Need,0,0,8,
"Gigamon XXL",0,2-4,"15 min",5,"Karim Aouidad, Johann Roussel",Mirakulus,2,2E440,Need,0,0,52,
"Gloomhaven: Buttons & Bugs ? The Flames of Ashtar",1,1,"20 min",10,,"Cephalofair Games",3,3R200,Need,0,0,5,
Gnomeville,0,1-4,"45-60 min",10,"Björn Lindberg","Adam's Apple Games, LLC",4,4H120,Need,0,0,,
"Go Big",0,3-6,"15-20 min",7,"Antony Proietti","Ludit GmbH",4,4C110,Need,0,0,,
"Go West",0,1-4,"60-90 min",10,"Stefan Freund","Skellig Games",3,3C300,Need,0,0,42,
"Gold Country",0,2-4,"30-60 min",8,"Reiner Knizia","Bitewing Games",4,4H400,Need,0,0,39,
"Golden Goal",0,2,"15 min",8,"Corné van Moorsel",Allplay,8,8D200,Need,0,0,9,
"Gouda! Gouda!",0,2-6,"30-45 min",8,"Fréderic Moyersoen",Playte,6,6D405,Need,0,0,19,
"Greedy Grabbers",0,3-6,"30-40 min",8,"Rian Mennen","Wulfhorn Games",3,3H225,Need,0,0,15,
"Green Gold",0,1-4,"40-80 min",14,"Toni López",Ludonova,3,3F115,Need,0,0,60,
Greenwood,0,1-4,"40-160 min",14,"Christos Giannakoulas, Manolis Zachariadis","Feuerland Spiele",3,3Q300,Need,0,0,,
Greenwood,0,1-4,"40-160 min",14,"Christos Giannakoulas, Manolis Zachariadis","Feuerland Spiele",3,3Q300,Need,0,0,,
